id,x_coord,y_coord,home_compute_node_id,home_x_coord,home_y_coord,assigned_compute_node_id,assigned_x_coord,assigned_y_coord
******市民中心连廊上第一根灯柱支撑杆,114.05659,22.54581,******中心书城,114.05088,22.55244,******中心书城,114.05088,22.55244
******水围中,114.05931,22.52245,******水围村,114.05489,22.52697,******水围村,114.05489,22.52697
******莲花一村17栋副楼,114.06731,22.55506,******园心苑J,114.065724,22.55496,******园心苑J,114.065724,22.55496
******莲花一村17栋,114.06739,22.55494,******园心苑J,114.065724,22.55496,******花卉世界,114.06509,22.55826
******缇香名苑2栋1号,114.037535,22.545519,******缇香名苑,114.03226,22.55048,******缇香名苑,114.03226,22.55048
******体育馆,114.08479,22.55716,******体育馆,114.07979,22.56216,******八卦工业,114.09266,22.56552
******下梅林村围面村5号,114.03899,22.56323,******围面,114.035611,22.569388,******共和世家,114.049777,22.527722
********街道福民路28号皇轩大酒店附楼,114.0581739,22.5242075,******皇岗上围J,114.05478,22.53384,******皇岗上围J,114.05478,22.53384
******香蜜楼1栋1单元,114.03684,22.54281,******香蜜楼1栋1单元,114.03184,22.54781,******缇香名苑,114.03226,22.55048
******新光大厦,114.042555,22.531611,******新光大厦,114.037555,22.536611,******新光大厦,114.037555,22.536611
******福星路福安街2号85号路灯杆,114.07538,22.53406,******福宁牛巷,114.073111,22.536888,******赤尾村,114.07721,22.53631
******福景大厦西座,114.06566,22.54488,********科技广场J,114.06256,22.54801,******皇岗南,114.06552,22.53522
******新洲祠堂村156栋,114.04209,22.52396,******沙嘴三坊J,114.02876,22.52209,******新美域,114.035333,22.527444
******维也纳酒店,114.04521,22.52581,******维也纳酒店,114.04021,22.53081,******阳光华苑,114.04789,22.53093
******新洲南村74号,114.04503,22.52312,******新洲中心村J,114.04081,22.52981,******新洲村,114.03811,22.53161
******新洲路与福中一路的交界处L杆牌,114.04606,22.54682,********莲花瑞达苑A,114.03751,22.548692,******东景大厦1栋,114.04002,22.54769
******新洲北村78号,114.04401,22.52721,******湖北大厦,114.03951,22.53331,******湖北大厦,114.03951,22.53331
